dataset,resolution,modularity,silhouette_score,v_measure_score,num_clusters
pge_pca,0.9,Dugue,,,1
pge_pca,0.9,Newman,,,1
pge_pca,0.9,Potts,0.031782571226358414,0.16363077830662048,299
pge_pca,1.0,Dugue,-0.02800709195435047,0.2560837879137698,5
pge_pca,1.0,Newman,-0.12238830327987671,0.3497213297125973,53
pge_pca,1.0,Potts,0.007094607688486576,0.26101251174336293,615
pge_pca,0.8,Dugue,,,1
pge_pca,0.8,Newman,,,1
pge_pca,0.8,Potts,0.08758941292762756,0.08171570841608092,121
pge_umap,0.9,Dugue,0.32365238666534424,0.13116855232841393,2
pge_umap,0.9,Newman,0.32230809330940247,0.13229553815691075,2
pge_umap,0.9,Potts,0.2929968237876892,0.22287913672660023,9
pge_umap,1.0,Dugue,0.3680844008922577,0.3688167642569594,4
pge_umap,1.0,Newman,0.324629545211792,0.269336247604858,3
pge_umap,1.0,Potts,0.4197784662246704,0.3615914627688822,11
pge_umap,0.8,Dugue,,,1
pge_umap,0.8,Newman,,,1
pge_umap,0.8,Potts,0.03920798376202583,0.05215590897525028,9
vgg16_pca,0.9,Dugue,,,1
vgg16_pca,0.9,Newman,,,1
vgg16_pca,0.9,Potts,0.0625816285610199,0.14021021488479327,174
vgg16_pca,1.0,Dugue,-0.027229534462094307,0.4489107449840284,5
vgg16_pca,1.0,Newman,-0.05553128197789192,0.40545549174240064,13
vgg16_pca,1.0,Potts,-0.007919780910015106,0.26820395862710217,433
vgg16_pca,0.8,Dugue,,,1
vgg16_pca,0.8,Newman,,,1
vgg16_pca,0.8,Potts,0.15506094694137573,0.052689056848420145,65
vgg16_umap,0.9,Dugue,0.21848164498806,0.27329097508551903,2
vgg16_umap,0.9,Newman,0.22066885232925415,0.2752404205540252,2
vgg16_umap,0.9,Potts,0.12612754106521606,0.335869700503909,12
vgg16_umap,1.0,Dugue,0.24837610125541687,0.4492845591943208,4
vgg16_umap,1.0,Newman,0.10875656455755234,0.4658071583181255,5
vgg16_umap,1.0,Potts,0.2792589068412781,0.5816554781654993,12
vgg16_umap,0.8,Dugue,,,1
vgg16_umap,0.8,Newman,,,1
vgg16_umap,0.8,Potts,0.07602051645517349,0.07689795677928118,7
